"경상남도","주택",1304378,1112398,191980,181278,135989,37104,8185,10702,9461,756,231,254
"경상남도","단독주택",520448,430172,90276,83695,69399,12656,1640,6581,5780,511,89,201
"경상남도","아파트",711733,620436,91297,87751,59198,22393,6160,3546,3147,215,136,48
"경상남도","연립주택",21420,18710,2710,2646,2013,514,119,64,58,2,-,4
"경상남도","다세대주택",30384,26309,4075,3863,2711,948,204,212,202,3,6,1
"경상남도","비거주용 건물 내 주택",20393,16771,3622,3323,2668,593,62,299,274,25,-,-
"경상남도","주택이외의 거처",45777,38261,7516,6984,5724,1102,158,532,475,52,-,5
"제주특별자치도","계",263068,222116,40952,38954,31305,6407,1242,1998,1762,148,15,73
"제주특별자치도","주택",244958,206698,38260,36435,29063,6154,1218,1825,1644,148,15,18
"제주특별자치도","단독주택",119243,97195,22048,20883,17815,2669,399,1165,1075,74,-,16
"제주특별자치도","아파트",67407,59136,8271,7926,5553,1925,448,345,275,57,13,-
"제주특별자치도","연립주택",23014,20134,2880,2761,2043,567,151,119,119,-,-,-
"제주특별자치도","다세대주택",27771,24004,3767,3644,2697,780,167,123,106,17,-,-
"제주특별자치도","비거주용 건물 내 주택",7523,6229,1294,1221,955,213,53,73,69,-,2,2
"제주특별자치도","주택이외의 거처",18110,15418,2692,2519,2242,253,24,173,118,-,-,55
